i,alpha,lam,gamma,tau,k,noise,alpha_hat,lam_hat,gamma_hat,gconf,lconf
41,0.9240500520220464,3.7331676473691005,1.0439470139436797,0.7028831910527491,0.928920818781964,0.15540981629040562,0.7017415550287506,3.280122424636473,0.9755385676996763,ok,weak
42,0.7965756696283266,3.8843203711613095,1.279898859455398,0.8915180034271165,0.749648549280288,0.18819671397973184,0.6368855812927654,5.150315752892478,1.4012607836135362,ok,weak
43,0.9669965092869637,3.0685330012218026,3.044195965019115,0.8441182631966455,0.889591893141485,0.13611877867465247,0.6588960292874386,2.5067351301716054,3.5310085251301153,ok,ok
44,0.9328690686697884,1.84720630480845,2.8574011909561885,0.8572135741573956,0.8720211363071998,0.17167587112434102,0.6531318004525387,2.022589166389142,3.613782869200097,ok,ok
45,0.8785828094650485,3.2438372926168846,3.1355483169732037,0.9088813739383125,0.9539211620862871,0.13742324316811816,0.6745667658343973,3.7834346738298867,3.5485031661241457,ok,weak
46,0.8214313697319978,2.683030152153865,1.594924394476913,0.8375278998618854,0.842979731913182,0.19530882078886358,0.6045551164774887,2.2340427886094694,2.4916451061117555,ok,ok
47,0.8190043521922925,1.7892984543846304,3.2616216995275993,0.962168030725268,0.9213218378808709,0.15391540591843142,0.6708591716880377,1.7843002905867724,3.7552036163141764,ok,ok
48,0.7704309837134611,3.691373429459733,1.32009696583085,0.4223130646952621,0.8241772302035795,0.13755886606624154,0.6305840695824206,4.036419634305028,1.3600650887822667,ok,ok
49,0.9250753992342138,1.9562737524419638,0.23394530905148792,0.5396198781265028,0.8786490098230846,0.13810466834230525,0.621823183616991,1.9762029037629265,0.33074911211849795,weak,ok
50,0.8751848838883707,1.7141346485129592,0.7342358193571034,0.98183231206905,0.7566180984597196,0.19681913912084983,0.6588861690532711,1.8037630465319643,1.037155681016522,ok,ok
51,0.7916411935243314,2.392402724364077,0.5010131080267781,0.6902494337183286,0.749747244025855,0.1385642410459052,0.6704055384083816,3.1556758818502932,0.5701513254556558,ok,ok
52,0.8777114194987967,3.605010705973932,2.1008830326800654,0.4042036028300689,0.959856993490789,0.10604296642542463,0.5791296640366529,3.3210777700454552,2.715308773447082,ok,ok
53,0.8974302530856288,1.6088247953632655,0.25962772834575026,0.5946646960567333,0.9936828444894383,0.18348557562870285,0.6420161860363011,1.6543062033557479,0.46627192697742764,ok,ok
54,0.755829686094285,3.8634982322637796,1.4683576797727929,0.8931685752831642,0.7682786154887048,0.15034592583633352,0.6123899722704322,3.9531129341681708,1.3319483794660754,ok,weak
55,0.9123008580380626,1.4153851559615895,1.8926822260553946,0.665485861053724,0.9179325456509775,0.1857142152722681,0.6376344913914557,1.431848036922929,3.2212284254530235,ok,ok
56,0.9575151309721104,3.2976708393683305,0.9236206392314863,0.41226911671636235,0.8444377384249995,0.11074268132901043,0.6872384952211082,2.586596965990657,0.8702219558909385,ok,ok
57,0.9542880194095487,1.9611907555169719,1.1955228699706377,0.7444169407322448,0.7979064918886718,0.1970041461149431,0.5983892192937847,2.1084963701073436,1.5236060487931147,ok,ok
58,0.9704953314062648,1.2188608128177925,2.5020068220055918,0.7419891770156277,0.926391834633292,0.1029919054297107,0.6514793056196915,1.2658956866994893,3.506084018876617,ok,ok
59,0.9158659481988898,1.3012978346091655,1.4277746458607867,0.9835508174423162,0.6496163750162715,0.18658486125178386,0.5765616073181749,1.2279021324770538,2.4894607354999794,ok,ok
60,0.8431472498940698,2.2631135782279603,3.2330393159473676,0.43065494739356636,0.7853363326473255,0.11652391471678966,0.6511049709178565,2.301277095114971,3.4991344769078725,ok,ok
61,0.9485142119637411,3.821364291373391,2.5561000625793455,0.8874668621052701,0.9685196116658131,0.15056541991574782,0.6744975394801876,5.546860863673307,2.9734597966665097,ok,weak
62,0.7074922378301712,1.4289225933365284,3.3762751149644066,0.8481271964055509,0.7251204191625009,0.11191496541265056,0.6180668764024796,1.313286272836779,3.0198616538893392,ok,ok
63,0.8646124674340433,2.6975280421666232,2.9812671225458898,0.9146393031378807,0.9712351117690301,0.19873607790754724,0.6780571958726553,2.1105335835604206,3.781719373103585,ok,ok
64,0.9722494991256279,1.4527510453795531,0.4933032123801357,0.9029937915291808,0.8900415238179982,0.137516434889493,0.697343047792188,1.3825971829323396,0.6599663940370752,ok,ok
65,0.8027763975439582,2.446186000394583,3.108798047964491,0.889377501856393,0.6424481222481742,0.13709712119917156,0.5991914753245422,2.3730677839220156,2.94639862166118,ok,ok
66,0.7146330730666318,3.7800841874831095,1.9418373688491877,0.6050904127404663,0.7076087997605344,0.11928944351661797,0.590569850155092,2.955619850748489,2.601153528810848,ok,ok
67,0.7999850391749698,1.2223380779675237,3.2435473006470685,0.5721450720762987,0.7000740965969336,0.16111233907155376,0.651206314059138,1.4486111385088456,3.0688783692148296,ok,ok
68,0.7459448425324823,3.4135423234555367,0.5678225264743089,0.600846062309517,0.9366806389824303,0.1649036499261446,0.6724190972995814,2.2708168105246758,0.5145157303852793,ok,ok
69,0.9326659160300879,1.2211958016068392,0.590353724018728,0.7004894172300029,0.7000241761619287,0.10657127462948017,0.6685751195995622,1.126518249668106,0.8897631145959581,ok,ok
70,0.7944870811701477,3.152317605835564,1.6306724939013475,0.9024102499876253,0.8699170600568147,0.12270842133697281,0.6283840901727086,2.215877205818323,2.404926041389875,ok,ok
71,0.9567246715657907,1.2722637291791308,0.21469500849120338,0.8025214444880224,0.8956010796669363,0.19089240691705012,0.6307707535470507,1.2523070731412247,0.31793962000318915,weak,ok
72,0.9794600776529363,3.056176850520477,2.919183250899605,0.6371336366141144,0.9145280829746757,0.11523663442787029,0.6707940121472963,2.3194245907718485,3.584102845376638,ok,ok
73,0.7040561507017546,1.3412298551285629,1.068429267323275,0.5925712791984381,0.9612143735235964,0.19043520124989885,0.6145058733605087,1.3317153657708398,2.348648678424083,ok,ok
74,0.8452411241904721,3.359320351561098,2.2959190188006473,0.8941633451589679,0.7858230027231472,0.14137850465554863,0.5999371899420483,3.0137425960026456,2.9255773898705417,ok,weak
