ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.65,2.793,2.2064,0.46622,1.08054,0.61219,1.1785,1.74667,0.32607,0.38427,8.41941,10.02616
0.8254,2.3972,0.2195,0.44522,1.08371,0.08627,0.79957,0.22187,0.40695,0.32538,6.46,5.24744
0.6859,1.2642,2.7052,0.70896,0.96408,1.22393,1.58036,2.27988,0.23814,0.37635,7.68485,9.89124
0.7377,3.1228,4.1341,0.66329,1.67472,0.8588,6.96808,2.00101,0.07367,0.51336,10.26937,11.55287
0.9442,1.3908,3.7208,0.6874,0.72326,1.0636,0.87073,1.73036,0.35551,0.30955,7.81057,9.63591
0.8311,2.9998,1.0256,0.39982,0.88911,0.22563,0.64631,0.91443,0.47617,0.30775,9.08583,9.16658
0.8511,1.3508,0.9388,0.63336,0.89127,0.61508,0.73461,1.03577,0.39836,0.29263,5.11248,5.65288
0.8553,4.4701,0.4353,0.37049,0.91138,0.15308,0.56265,0.54595,0.52251,0.29399,7.62937,7.41134
0.7378,3.1878,3.5288,0.58095,1.21664,0.79289,1.88307,1.98174,0.23577,0.44397,8.65142,10.77196
0.989,4.0775,3.475,0.48733,0.67274,0.44386,0.62101,1.34203,0.49648,0.30832,10.19553,10.77605
0.8548,1.6927,0.9654,0.48221,0.98199,0.39189,0.77133,0.93977,0.42086,0.32462,7.5357,7.627
0.9033,4.2604,1.1111,0.36967,0.91312,0.20453,0.63331,0.86399,0.47855,0.30307,9.58418,9.25011
0.9313,2.0846,1.6988,0.46117,0.9084,0.4006,0.73254,1.07228,0.45408,0.33263,9.09344,9.20987
0.7412,2.1229,2.3483,0.54389,1.00735,0.80676,1.05482,1.61908,0.32615,0.34403,7.7211,9.39166
0.9724,3.5875,0.8078,0.42782,1.05021,0.26427,0.64722,0.70301,0.48526,0.31407,7.02077,6.45218
0.732,4.1733,1.9038,0.41193,0.9247,0.38912,0.70341,1.24632,0.43472,0.30578,8.86676,9.2284
0.7221,1.5185,0.5879,0.48146,0.97903,0.33143,0.76418,0.86725,0.41736,0.31894,6.82995,7.48192
0.8595,1.046,0.804,0.47871,0.92128,0.34006,0.81686,0.9047,0.41479,0.33883,8.23371,8.55821
0.9922,1.6646,0.4436,0.4122,1.05334,0.20886,0.71846,0.61358,0.46569,0.33458,7.57571,7.39367
0.8143,3.1055,0.4168,0.40905,1.03254,0.16829,0.68279,0.51634,0.45765,0.31248,7.00065,6.39886
0.6099,3.3086,0.4656,0.49342,1.40828,0.27499,0.92023,0.54323,0.34185,0.31458,4.32644,4.18772
0.6437,1.4359,1.0927,0.568,0.98117,0.71275,0.95617,1.28881,0.34689,0.33169,6.6131,7.09942
0.8521,3.6215,3.2657,0.47227,0.86908,0.57865,0.77558,1.56711,0.40287,0.31246,9.37693,10.65346
0.7093,2.3629,1.3603,0.44064,0.96032,0.40755,0.8145,1.18534,0.40772,0.33209,8.69857,8.52674
0.9571,1.2252,0.267,0.47143,1.03349,0.15657,0.74303,0.35545,0.44339,0.32945,6.47846,5.95546
0.9488,3.7906,3.5385,0.4868,0.74662,0.52063,0.66507,1.38126,0.45784,0.3045,9.6874,10.57448
0.8074,2.6815,3.6178,0.61624,1.09029,0.97112,1.52116,1.93909,0.26261,0.39948,7.85509,10.01985
0.8568,3.7964,0.0696,0.40069,0.96993,0.02087,0.68979,0.09268,0.43666,0.30121,6.67167,5.61631
0.9782,4.0186,1.5606,0.42657,0.92171,0.27736,0.65952,0.94481,0.46938,0.30957,8.55405,8.32807
0.9603,2.79,3.677,0.51865,0.72448,0.6684,0.70778,1.43149,0.44672,0.31618,9.75273,10.67021
0.9984,2.424,2.3301,0.49516,0.8669,0.4831,0.75254,1.1533,0.43797,0.32959,8.73068,9.14437
0.754,4.0604,4.4664,0.63351,1.87199,0.84992,5.87754,2.13877,0.09325,0.54809,8.87529,10.70245
0.8101,2.7707,3.1162,0.537,0.8347,0.61281,0.87702,1.67714,0.37051,0.32495,8.90389,10.79434
0.689,4.0032,2.3804,0.47373,1.34958,0.71709,1.27237,1.53867,0.31289,0.39811,7.54102,8.17858
0.8882,2.777,2.7933,0.50879,0.83166,0.6293,0.72762,1.36399,0.42948,0.3125,8.77701,9.7621
0.6771,1.7593,1.6966,0.50175,0.91903,0.72133,0.83865,1.44215,0.38813,0.32551,8.3261,9.60375
0.9393,4.2316,1.0197,0.36859,1.0157,0.24091,0.58957,0.82247,0.51538,0.30385,8.32437,8.2074
0.8554,2.9535,1.287,0.43954,0.92108,0.32177,0.67445,0.98513,0.45733,0.30845,8.34726,7.8612
0.993,1.1414,0.5525,0.49958,0.92871,0.27954,0.7381,0.65736,0.43088,0.31803,6.62339,7.57889
0.9472,2.625,3.6049,0.52878,0.76907,0.68337,0.74612,1.45207,0.42458,0.31679,9.42424,10.57743
0.974,1.6406,1.0075,0.44844,0.93101,0.26552,0.81452,0.85802,0.41482,0.33788,8.71246,9.08985
0.9281,2.1887,2.6645,0.49936,0.76682,0.56411,0.72795,1.31935,0.44633,0.32491,9.57832,10.31691
0.8782,3.9404,4.3394,0.53459,1.09207,0.77963,1.12904,1.90486,0.30594,0.34542,8.36667,10.28086
0.7725,3.0604,4.2505,0.66183,1.71673,1.09814,4.60661,2.18685,0.11963,0.55108,8.10913,10.03438
0.8396,2.1126,0.5923,0.38613,1.01797,0.24557,0.6608,0.8299,0.48576,0.32099,7.93774,7.85378
0.9756,3.0422,3.4991,0.50142,0.70354,0.53548,0.6596,1.33723,0.47296,0.31197,10.21251,10.93971
0.6368,2.7269,3.179,0.60918,1.61202,0.92247,4.41607,2.20104,0.12494,0.55173,8.22132,10.25952
0.8267,1.8884,1.745,0.60194,0.96605,0.75089,0.91788,1.30552,0.35465,0.32553,6.52995,6.96912
0.9494,2.1177,2.6957,0.5171,0.75296,0.5426,0.73184,1.33384,0.44526,0.32586,9.43896,10.26365
0.6045,2.1595,2.9808,0.72384,1.98159,1.70855,5.90272,2.66468,0.10374,0.61234,6.81799,8.44461
0.9966,2.0215,0.0918,0.44608,0.96792,0.03373,0.67895,0.08958,0.46834,0.31798,6.74995,6.10398
0.6667,3.3814,3.9549,0.61114,2.14462,0.84168,8.0,2.16021,0.01238,0.60322,9.56194,10.94973
